str_schl,baumgruppe,geometry
02505,Tilia,POINT (7.612346614095637 51.97463418649512)
02505,Tilia,POINT (7.61253784216682 51.97467264023216)
02505,Carpinus,POINT (7.612417021179078 51.976006932135995)
02505,Carpinus,POINT (7.612412950404919 51.97609956987661)
02505,Carpinus,POINT (7.6123931379319 51.976368051226096)
02505,Tilia,POINT (7.612243013027237 51.97817722274013)
02505,Tilia,POINT (7.612189351571745 51.9789411212523)
02505,Carpinus,POINT (7.6116726856987 51.9856281054893)
06350,Platanus,POINT (7.607566988053852 51.97265020726444)
06350,Platanus,POINT (7.607054463353863 51.97313420750021)
06350,Acer,POINT (7.607623739944137 51.97273889752329)
06350,Platanus,POINT (7.611150920032951 51.97017538016462)
02270,Platanus,POINT (7.611405973626978 51.97030395658357)
06350,Platanus,POINT (7.610709678261372 51.97069617656752)
06350,Platanus,POINT (7.610248144305702 51.9710297776748)
06350,Platanus,POINT (7.610006436682546 51.97120661344745)
06350,Acer,POINT (7.613535754189282 51.96867393668114)
06350,Acer,POINT (7.605373146174869 51.9739927887569)
06350,Platanus,POINT (7.605278543852338 51.97405879980949)
06350,Fagus,POINT (7.600572451975477 51.97684979679773)
02505,Tilia,POINT (7.611215588610205 51.98776331343275)
02505,Acer,POINT (7.611527861779826 51.99089810824414)
02505,Acer,POINT (7.611669499459734 51.991457131875634)
02505,Carpinus,POINT (7.611862375303317 51.992256484444205)
02505,Acer,POINT (7.61193297457639 51.99258324430692)
02505,Quercus,POINT (7.612937451752911 51.99648570934976)
02505,Quercus,POINT (7.61306673645755 51.99698127530811)
02505,Quercus,POINT (7.614114135980175 52.00097035355828)
02505,Platanus,POINT (7.612946379101009 51.99595558887388)
02505,Platanus,POINT (7.613098124022325 51.99651195081139)
02505,Platanus,POINT (7.61270053040913 51.99501507600059)
02505,Sorbus,POINT (7.611415538947862 51.9898124857468)
02505,Quercus,POINT (7.611392215295214 51.98752510440062)
02505,Fagus,POINT (7.611374235413975 51.98788035782597)
02505,Acer,POINT (7.611363832421077 51.98804716444565)
02505,Acer,POINT (7.611577581523959 51.986999086673585)
02505,Tilia,POINT (7.611566077420968 51.98718551803238)
02505,Carpinus,POINT (7.612605581769427 51.99402823513928)
02505,Quercus,POINT (7.613230083087477 51.99645108503064)
