,Training,Validation,Test
gesamt,67.9,14.0,18.2
Abies,100.0,0.0,0.0
Acer,71.6,11.3,17.1
Aesculus,49.9,26.4,23.7
Ailanthus,63.9,8.3,27.8
Alnus,83.5,6.3,10.1
Amelanchier,96.0,4.0,0.0
Betula,49.4,13.3,37.3
Carpinus,72.6,13.2,14.2
Castanea,68.8,12.5,18.8
Catalpa,77.3,22.7,0.0
Cedrus,100.0,0.0,0.0
Celtis,100.0,0.0,0.0
Cercidiphyllum,69.6,30.4,0.0
Chamaecyparis,83.3,16.7,0.0
Cornus,100.0,0.0,0.0
Corylus,76.0,13.4,10.6
Crataegus,65.8,12.8,21.4
Cryptomeria,100.0,0.0,0.0
Davidia,100.0,0.0,0.0
Decaisnea,100.0,0.0,0.0
Euonymus,100.0,0.0,0.0
Fagus,77.0,6.9,16.1
Fraxinus,55.0,14.6,30.5
Ginkgo,64.2,16.0,19.8
Gleditsia,81.3,11.5,7.2
Ilex,71.4,28.6,0.0
Juglans,79.3,17.2,3.4
Juniperus,100.0,0.0,0.0
Koelreuteria,50.0,50.0,0.0
Laburnum,50.0,0.0,50.0
Larix,33.3,11.1,55.6
Liquidambar,56.5,17.4,26.1
Liriodendron,74.5,9.1,16.4
Magnolia,60.5,17.1,22.4
Malus,79.5,4.5,15.9
Malus-Hybride,61.0,37.3,1.7
Mespilus,100.0,0.0,0.0
Metasequoia,72.2,27.8,0.0
Metasequoia glyptostroboides,30.3,69.7,0.0
Nyssa,100.0,0.0,0.0
Parrotia,66.7,33.3,0.0
Paulownia,60.0,30.0,10.0
Picea,90.0,0.0,10.0
Pinus,59.6,1.8,38.6
Platanus,68.6,19.0,12.4
Populus,46.6,49.4,4.0
Prunus,71.8,17.8,10.4
Pseudotsuga,100.0,0.0,0.0
Pterocarya,80.0,20.0,0.0
Pyrus,54.6,32.7,12.7
Quercus,67.1,11.3,21.6
Robinia,62.4,12.3,25.3
Salix,89.4,3.0,7.7
Sambucus,0.0,100.0,0.0
Sequoiadendron,100.0,0.0,0.0
Sophora,71.4,26.8,1.8
Sorbus,58.5,15.5,26.0
Taxodium,100.0,0.0,0.0
Taxus,88.7,10.6,0.7
Thuja,100.0,0.0,0.0
Tilia,68.4,14.6,17.0
Tsuga,100.0,0.0,0.0
Ulmus,71.8,4.9,23.3
Viburnum,100.0,0.0,0.0
Zelkova,100.0,0.0,0.0
