,tile,gesamt,Abies,Acer,Aesculus,Ailanthus,Alnus,Amelanchier,Betula,Carpinus,Castanea,Catalpa,Cedrus,Celtis,Cercidiphyllum,Chamaecyparis,Cornus,Corylus,Crataegus,Cryptomeria,Davidia,Decaisnea,Euonymus,Fagus,Fraxinus,Ginkgo,Gleditsia,Ilex,Juglans,Juniperus,Koelreuteria,Laburnum,Larix,Liquidambar,Liriodendron,Magnolia,Malus,Malus-Hybride,Mespilus,Metasequoia,Metasequoia glyptostroboides,Nyssa,Parrotia,Paulownia,Picea,Pinus,Platanus,Populus,Prunus,Pseudotsuga,Pterocarya,Pyrus,Quercus,Robinia,Salix,Sambucus,Sequoiadendron,Sophora,Sorbus,Taxodium,Taxus,Thuja,Tilia,Tsuga,Ulmus,Viburnum,Zelkova,x,y
0,dop10rgbi_32_400_5759_1_nw_2020.jp2,112,0,28,0,0,0,0,1,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,54,0,3,0,0,0,0,0,0,0,3,0,0,0,0,400,5759
1,dop10rgbi_32_404_5751_1_nw_2020.jp2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,5751
2,dop10rgbi_32_403_5749_1_nw_2020.jp2,94,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,65,0,0,0,0,403,5749
3,dop10rgbi_32_409_5751_1_nw_2020.jp2,14,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,409,5751
4,dop10rgbi_32_407_5756_1_nw_2020.jp2,192,0,28,0,0,0,0,5,25,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,4,30,0,3,0,0,0,8,0,0,0,68,0,0,0,0,407,5756
5,dop10rgbi_32_401_5761_1_nw_2020.jp2,119,0,5,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,64,0,4,0,0,401,5761
6,dop10rgbi_32_400_5760_1_nw_2020.jp2,84,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,55,0,0,0,0,400,5760
7,dop10rgbi_32_408_5750_1_nw_2020.jp2,116,0,5,3,3,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,12,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,24,2,0,0,0,0,23,0,0,0,1,0,0,0,0,408,5750
8,dop10rgbi_32_406_5757_1_nw_2020.jp2,1057,0,101,72,1,4,3,20,115,1,1,0,0,2,1,0,33,7,0,0,0,0,12,17,10,6,2,2,0,1,0,0,2,3,8,0,16,0,4,0,0,1,1,0,1,78,0,38,0,2,41,9,15,1,1,0,7,10,0,8,0,399,0,1,0,0,406,5757
9,dop10rgbi_32_402_5748_1_nw_2020.jp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,5748
