WKT;str_schl;baumgruppe
POINT (404685.243 5759126.262);02505;Tilia
POINT (404698.459 5759130.288);02505;Tilia
POINT (404692.992 5759278.839);02505;Carpinus
POINT (404692.909 5759289.147);02505;Carpinus
POINT (404692.118 5759319.032);02505;Carpinus
POINT (404685.647 5759520.435);02505;Tilia
POINT (404683.583 5759605.462);02505;Tilia
POINT (404664.747 5760283.643);02505;Standort
POINT (404662.299 5760349.83);02505;Carpinus
POINT (404352.732 5758911.89);06350;Platanus
POINT (404318.559 5758966.392);06350;Platanus
POINT (404356.819 5758921.679);06350;Acer
POINT (404593.647 5758631.946);06350;Platanus
POINT (404611.44 5758645.911);02270;Platanus
POINT (404564.444 5758690.445);06350;Platanus
POINT (404533.45 5758728.152);06350;Platanus
POINT (404517.223 5758748.136);06350;Platanus
POINT (404754.281 5758461.838);06350;Acer
POINT (404204.906 5759064.092);06350;Acer
POINT (404198.549 5759071.558);06350;Platanus
POINT (403881.283 5759388.167);06350;Fagus
POINT (404635.447 5760587.896);02505;Tilia
POINT (404663.547 5760936.122);02505;Acer
POINT (404674.459 5760998.108);02505;Acer
POINT (404689.399 5761086.755);02505;Carpinus
POINT (404694.94 5761123.003);02505;Acer
POINT (404772.185 5761555.699);02505;Quercus
POINT (404782.112 5761610.644);02505;Quercus
POINT (404862.474 5762052.918);02505;Quercus
POINT (404771.673 5761496.73);02505;Platanus
POINT (404783.271 5761558.407);02505;Platanus
POINT (404752.799 5761392.453);02505;Platanus
POINT (404653.529 5760815.532);02505;Sorbus
POINT (404647.069 5760561.172);02505;Quercus
POINT (404646.589 5760600.705);02505;Fagus
POINT (404646.229 5760619.27);02505;Acer
POINT (404658.68 5760502.428);02505;Acer
POINT (404658.286 5760523.177);02505;Tilia
POINT (404744.186 5761282.826);02505;Carpinus
POINT (404792.201 5761551.465);02505;Quercus
POINT (404900.366 5762122.353);02505;Carpinus
POINT (404920.431 5762195.506);03635;Quercus
POINT (404700.275 5758545.443);06350;Platanus
POINT (404797.233 5759491.366);03805;Tilia
POINT (404763.736 5759951.431);03805;Tilia
POINT (404649.316 5760066.653);02505;Tilia
POINT (404648.497 5760089.624);02505;Tilia
POINT (404643.264 5760282.152);02505;Tilia
POINT (404642.551 5760336.895);02505;Carpinus
POINT (404993.266 5757219.573);00025;Platanus
POINT (404964.856 5757225.275);00025;Platanus
POINT (404854.556 5757251.38);00025;Platanus
POINT (404816.212 5757260.765);00025;Platanus
POINT (404825.547 5757258.344);00025;Platanus
POINT (404944.941 5757229.532);00025;Platanus
POINT (404941.348 5757215.219);00025;Platanus
POINT (404515.303 5757615.241);03025;Corylus
POINT (404512.332 5757605.908);03025;Corylus
POINT (404598.541 5757451.256);03025;Platanus
POINT (404786.761 5757255.921);00025;Platanus
POINT (404846.17 5757238.22);00025;Platanus
POINT (405092.719 5757208.372);00025;Platanus
POINT (405031.477 5757199.08);00025;Platanus
POINT (405037.349 5757479.897);00520;Robinia
POINT (404609.188 5759101.04);07360;Tilia
POINT (404779.214 5759291.584);03805;Corylus
POINT (405030.622 5757802.956);05945;Platanus
POINT (405008.774 5757770.437);05945;Standort
POINT (405010.37 5757778.783);05945;Tilia
POINT (404666.184 5759572.6);02505;Tilia
POINT (404658.443 5759767.381);02505;Quercus
POINT (404656.488 5759800.286);02505;Tilia
POINT (404076.058 5758496.538);07285;Acer
POINT (404083.304 5758473.307);07285;Acer
POINT (404044.855 5758494.243);07285;Quercus
POINT (403957.832 5758263.882);05125;Tilia
POINT (403961.92 5758286.791);05125;Tilia
POINT (403967.299 5758312.866);05125;Tilia
POINT (404014.799 5758475.911);05125;Quercus
POINT (404175.498 5758855.113);05125;Acer
POINT (404169.59 5758844.444);05125;Acer
POINT (404147.985 5758805.693);05125;Acer
POINT (404132.115 5758775.36);05125;Acer
POINT (404914.635 5754430.941);01685;Tilia
POINT (407441.554 5757407.717);00930;Acer
POINT (407113.784 5757420.904);00930;Crataegus
POINT (407197.691 5757420.052);00930;Baumgruppe
POINT (407170.506 5757428.109);00930;Fraxinus
POINT (406415.338 5757213.517);01130;Tilia
POINT (406429.933 5757270.965);01130;Acer
POINT (406407.307 5757152.427);01130;Tilia
POINT (404253.01 5758984.31);05125;Acer
POINT (404216.6 5758944.312);05125;Acer
POINT (404311.868 5758958.771);06350;Platanus
POINT (404664.87 5760944.716);02505;Acer
POINT (404869.756 5762038.842);02505;Quercus
POINT (404647.188 5760554.684);02505;Quercus
POINT (404868.863 5761980.073);02505;Quercus
POINT (404655.457 5759843.962);02505;Tilia
POINT (405001.34 5757203.144);00025;Platanus
POINT (404922.319 5757219.711);00025;Platanus
POINT (404160.241 5758845.488);05125;Acer
POINT (404107.928 5758746.57);05125;Quercus
POINT (404057.645 5758632.492);05125;Platanus
POINT (404025.045 5758542.539);05125;Acer
POINT (403946.431 5758247.385);05125;Quercus
POINT (403969.568 5758375.64);05125;Acer
POINT (403916.212 5758110.971);05125;Tilia
POINT (403922.827 5758166.336);05125;Tilia
POINT (403931.789 5758231.807);05125;Tilia
POINT (403942.692 5758298.068);05125;Tilia
POINT (403955.289 5758363.138);05125;Tilia
POINT (403957.548 5758373.384);05125;Tilia
POINT (403983.562 5758457.555);05125;Tilia
POINT (403991.808 5758488.606);05125;Quercus
POINT (404014.28 5758560.924);05125;Acer
POINT (404033.554 5758610.972);05125;Acer
POINT (404047.428 5758640.476);05125;Acer
POINT (404104.037 5758757.388);05125;Acer
POINT (404114.13 5758776.946);05125;Acer
POINT (404244.021 5758989.553);05125;Acer
POINT (404247.747 5758999.513);05125;Acer
POINT (404121.346 5758806.849);05125;Aesculus
POINT (404870.815 5757723.565);02335;Tilia
POINT (404930.678 5757719.251);02335;Tilia
POINT (404961.033 5757717.849);02335;Tilia
POINT (404290.797 5757636.265);03240;Acer
POINT (404735.202 5757712.072);03240;Fagus
POINT (404991.088 5757204.877);00025;Platanus
POINT (404680.954 5757407.441);03025;Platanus
POINT (403993.002 5756922.739);03680;Tilia
POINT (404032.959 5756674.692);03680;Alnus
POINT (404029.216 5756694.877);03680;Tilia
POINT (404080.602 5756513.826);03680;Acer
POINT (403991.396 5756819.31);03680;Acer
POINT (403990.727 5757033.519);03680;Tilia
POINT (403992.367 5757047.567);03680;Tilia
POINT (403993.278 5757057.922);03680;Tilia
POINT (403994.998 5757124.91);03680;Tilia
POINT (404469.282 5756519.734);05845;Platanus
POINT (404424.334 5756492.829);05845;Platanus
POINT (404418.87 5756489.557);05845;Prunus
POINT (404296.43 5756409.057);05845;Aesculus
POINT (404323.475 5756414.191);05845;Tilia
POINT (405016.968 5757058.808);00985;Platanus
POINT (404958.536 5757023.181);00985;Tilia
POINT (403959.844 5758320.97);05125;Quercus
POINT (403944.755 5758309.03);05125;Tilia
POINT (404018.067 5758571.029);05125;Acer
POINT (404988.492 5757715.94);02335;Tilia
POINT (404745.01 5757323.48);03025;Platanus
POINT (404152.332 5758831.397);05125;Acer
POINT (404385.811 5756625.537);00985;Fagus
POINT (404814.2 5756354.711);03955;Quercus
POINT (404689.06 5756356.553);03955;Quercus
POINT (404772.272 5756694.483);03195;Betula
POINT (404940.281 5757002.142);00985;Platanus
POINT (404882.529 5756955.501);00985;Platanus
POINT (404842.416 5756935.247);00985;Platanus
POINT (404712.631 5756863.943);00985;Acer
POINT (404667.593 5756848.239);00985;Platanus
POINT (404542.709 5756778.45);00985;Tilia
POINT (404622.235 5756815.023);00985;Quercus
POINT (404642.389 5756827.706);00985;Carpinus
POINT (404477.485 5756715.658);00985;Fraxinus
POINT (404637.874 5760504.041);02505;Tilia
POINT (404634.468 5760631.111);02505;Tilia
POINT (407048.322 5757281.523);03130;Platanus
POINT (407053.103 5757341.899);03130;Platanus
POINT (398539.215 5753837.949);00095;Sorbus
POINT (398507.797 5753845.13);00095;Acer
POINT (398550.236 5753884.515);00095;Carpinus
POINT (398747.966 5753429.141);00270;Quercus
POINT (398803.175 5753158.48);00270;Quercus
POINT (400117.307 5756610.093);05075;Quercus
POINT (400055.408 5756583.777);05075;Fraxinus
POINT (399941.529 5756520.651);05075;Quercus
POINT (399611.796 5756294.479);05075;Quercus
POINT (399582.74 5756276.401);05075;Quercus
POINT (399378.749 5756170.374);05075;Quercus
POINT (404337.914 5756577.063);00985;Carpinus
POINT (404760.421 5756351.784);03955;Quercus
POINT (404282.004 5756262.738);03955;Acer
POINT (404621.671 5756340.341);03955;Quercus
POINT (404766.965 5756612.537);03195;Betula
POINT (403993.016 5756897.182);03680;Acer
POINT (403994.297 5757102.417);03680;Tilia
POINT (404673.56 5756676.812);05845;Fraxinus
POINT (404530.071 5756754.628);00985;Betula
POINT (404635.92 5760558.092);02505;Tilia
POINT (404401.348 5757590.383);05595;Betula
POINT (404409.427 5757489.436);04140;Tilia
POINT (404357.874 5757506.334);05595;Carpinus
POINT (404329.022 5757492.525);05595;Corylus
POINT (404309.256 5757479.331);05595;Corylus
POINT (404243.345 5757435.043);05595;Fraxinus
